ID,latitude,longitude,label,group,notes
DE108,30.0639722,101.316639,cranolopha,1,
DE167,30.7406389,101.334361,cranolopha,1,
DE177,30.8469167,101.274333,cranolopha,1,
DE186,31.2010278,100.857889,cranolopha,1,
DE196,31.6575,100.701306,cranolopha,2,
DE206,31.7200278,100.714972,cranolopha,2,
DE218,31.8318611,100.739278,cranolopha,2,
DE231,31.5431389,100.470639,cranolopha,3,
DE234,31.5965556,100.368972,cranolopha,3,
DE244,31.6518889,100.258417,cranolopha,3,
DE252,31.6273611,100.234361,cranolopha,3,
DE262,31.5866111,100.141667,cranolopha,3,
DE279,31.7153056,99.6162778,cranolopha,3,
DE307,32.0090278,99.0482778,cranolopha,3,
DE314,31.8871111,99.0337778,cranolopha,3,
DE321,31.9325278,98.8331944,cranolopha,4,INSPECT – high missing data
DE325,31.87925,98.5913889,cranolopha,4,INSPECT – high missing data
DE350,31.0443056,98.9088056,cranolopha,4,
DE363,30.96825,98.9686389,cranolopha,4,INSPECT – high missing data
DE385,30.2848889,99.3993056,cranolopha,5,
DE387,30.2970278,99.671,cranolopha,5,
DE401,30.2272778,100.247694,cranolopha,5,
DE414,29.8208333,100.345889,cranolopha,5,
DE450,28.99625,99.7449167,cranolopha,5,
DE456,29.0738333,99.6763056,cranolopha,5,
DE518,30.0508333,101.962639,cranolopha,1,
DE585,31.7247222,100.742667,cranolopha,2,
DE590,31.4236111,100.620833,cranolopha,3,looks admixed with 2
DE607,32.1386944,101.04,cranolopha,2,
DE677,32.5355556,102.3325,cranolopha,1,
DE684,32.7111111,102.117361,cranolopha,2,
DE689,32.9080556,101.890556,cranolopha,2,
DE710,33.5469444,101.535972,cranolopha,2,
DE729,34.2208333,102.255278,cranolopha,2,
DE747,33.5216667,102.714444,cranolopha,2,
DE750,33.1075,102.631806,cranolopha,2,
DE80,30.15875,100.566083,cranolopha,1,
DE85,30.0340278,100.374972,cranolopha,5,
DE91,29.9858333,100.909694,cranolopha,1,
DE98,30.0426944,101.274,cranolopha,1,
FM28746,29.1030556,99.6319444,cranolopha,5,
FM30698,29.1025,99.6708333,cranolopha,5,
FM33474,31.5922222,100.377222,cranolopha,3,
FM34238,31.72,100.7194,cranolopha,2,
FM35437,30.2225,99.24917,cranolopha,5,
FM35462,30.21861,99.22944,cranolopha,5,
FM35504,30.23444,99.24056,cranolopha,5,
FM35905,29.99694,100.8794,cranolopha,1,
FM35984,30.0636111,100.771111,cranolopha,1,
FM36036,30.1613889,100.558889,cranolopha,1,
FM36273,31.16944,100.3011,cranolopha,3,looks admixed with 2
FM36321,31.6275,100.236944,cranolopha,3,
FM36357,31.6247222,100.222778,cranolopha,3,
FM36572,31.91333,98.815,cranolopha,4,INSPECT – high missing data
FM36690,31.8552778,99.1130556,cranolopha,3,
FM36800,31.8063889,99.4319444,cranolopha,3,
FM39106,32.2563889,101.194167,cranolopha,1,
FM39350,33.3025,101.527222,cranolopha,2,
FM39531,32.8963889,101.916111,cranolopha,2,
FM39989,33.10861,102.6319,cranolopha,2,
FM40536,29.71361,98.62722,cranolopha,5,
FM41237,30.6119444,97.6069444,cranolopha,5,
FM41559,30.97694,98.33028,cranolopha,5,
FM42358,30.2263889,100.245,cranolopha,5,
FM44752,32.83611,95.5625,cranolopha,4,INSPECT – high missing data
FM45034,28.81667,100.155,cranolopha,5,
JJ130,27.8889167,99.6662917,cranolopha,0,
JJ38,29.7475,98.5863889,cranolopha,5,
JJ62,30.6838889,97.2619444,cranolopha,5,
